class_id,guide_no,class_name,canonical_name,label_status,priority,description,aliases,panel_candidates,notes
0,1,core_iron,철심부,주의,1,배전반 내 위치때문에 잘 안보임,,P1,
1,2,epoxy_surface,에폭시 표면,가공,1,,,P1,
2,3,mold_tr_contact,몰드변압기 접촉부,가공,1,,,P1,
3,4,lbs,LBS,가공,2,,,P2,
4,5,lbs_primary,LBS 1차측 접촉부,가공,2,,,P2,v1 보류 -> v2 가공대상 전환
5,6,cl_power_fuse,한류형 전력퓨즈,가공,2,,전력퓨즈,P2,LBS&LA 반. 퓨즈 3종은 형태로 구분한다
6,7,la,LA,가공,2,,,P2,
7,8,transformer,변압기,가공,3,,,P4,
8,9,ct_transformer,변류기,가공,3,,분류기,P3 P4,v1 '분류기' 명칭 정정
9,10,ncl_power_fuse,비한류형 전력퓨즈,가공,3,,전력퓨즈 | MOF 1차측 전력퓨즈,P3 P4,MOF&PT 반
10,11,silencer_power_fuse,소음기부착형 전력퓨즈,가공,1,,전력퓨즈,P1 P5,TR 반 · PF&PT 반 공통
11,12,mold_pt,몰드타입 PT,가공,3,,PT,P4 P5,
12,13,branch_contact,분기 접촉부,폐지,,,,,[폐지] 새 가이드에서 PF&PT 반도 케이블헤드로 통일. 신규 라벨 금지 · 기존 실적 0건 · 라벨 승계 없음 (DEC-025)
13,14,cable_head,케이블헤드,가공,2,,분기 접촉부,P2 P5 P6,VCB·CNCV 반. v1 '분기 접촉부' 를 케이블헤드로 통일
14,15,vcb_contact,VCB 접촉부,가공,5,,,P6 P7,
15,16,ct,CT,가공,5,,,P6 P7,v2 에서 VCB 반에 신규 추가. 계기 표시창이 달린 적갈색 몰드형
16,17,sa,SA,가공,5,,,P6,"v2 신규. 백색 애자형 원통, 대·소 3개 1조 (서지흡수기)"
17,18,capacitor,콘덴서,가공,9,,,P8 P10,
18,19,mccb,MCCB,가공,9,,,P8 P9 P10,
19,20,incoming_contact,인입선로 접촉부,가공,4,,,P5,[2026-09-02] 개정 PDF 가공대상 포함 · 보류 표기 없음 -> 주의에서 가공으로 상향 (DEC-027). 이전 판 비고 '반사 때문에 탐지 정확도가 떨어짐' 은 개정 판에서 사라졌다. 단위 미확정이라 아직 비배포 (NQ-13)
20,21,busbar,부스바,제외,,일정한 패턴이 없어 탐지 정확도가 떨어짐,,,
21,22,cable,케이블,제외,,일정한 패턴이 없어 탐지 정확도가 떨어짐,,,"케이블헤드(#14, 가공대상)와 혼동하지 않는다"
22,23,lbs_secondary,LBS 2차측 접촉부,가공,2,,,P2,v1 보류 -> v2 가공대상 전환
23,24,transformer_contact,변압기 접촉부,가공,3,,,P4,v1 보류 -> v2 가공대상 전환
24,25,ct_transformer_contact,변류기 접촉부,가공,3,,,P3 P4,v1 보류 -> v2 가공대상 전환
25,26,ct_contact,CT 접촉부,주의,8,배전반 내 위치때문에 잘 안보임,,P7,
26,27,acb_contact,ACB 접촉부,제외,9,배전반 내 위치때문에 잘 안보임,,P8 P10,
27,28,mccb_contact,MCCB 접촉부,주의,9,다른 접촉부와 구분이 안됨,,P8 P9 P10,
